LSRNumber,LSRTitle,BillNumber,BillAnalysis,BillURL,PrimeSponsor,Sponsors,pubDate
21-0699,prohibiting renewal of certain consumer contracts without express written notice to consumers.,HB 553,This bill makes it a violation of the consumer protection act for a contract for services to include an automatic renewal provision that does not require written acceptance of the additional term of service by the consumer.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=699&txtFormat=html,Benjamin Baroody,,12/23/2020
21-0700,"relative to licensure of applicants for cosmetology, esthetics, and manicuring through apprenticeship programs.",HB 502,This bill establishes a committee to study whether adequate funds are being set aside from the tobacco fund for youth and young adult prevention to help preserve long-term health.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=700&txtFormat=html,Glenn Cordelli,"Keith Ammon, James Spillane",12/11/2020
21-0702,relative to the burden of proof in special education hearings.,HB 580,"This bill requires the governor to review orders calling the New Hampshire national guard to federal active duty and directs the governor to withhold approval unless the order is in response to an invasion of the United States, an insurrection, or otherwise within the Constitutional authority of the federal government.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=702&txtFormat=html,Glenn Cordelli,"John Reagan, Mark McLean, Claire Rouillard, James Spillane, Douglas Thomas, Kevin Verville",12/1/2020
21-0703,"declaring February 5, 2021 as Apollo 14 Day.",HB 579,This bill requires the chief law enforcement officer to inform local media when he or she is informed by Border Patrol of an immigration checkpoint.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=703&txtFormat=html,Stephen Pearson,,12/24/2020
21-0705,repealing the prohibition against OHRV travel on Hoit Road Marsh.,HB 564,This bill prohibits the use of rubber bullets and tear gas by law enforcement.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=705&txtFormat=html,Thomas Walsh,"Steven Smith, Natalie Wells, Howard Pearl",12/2/2020
21-0707,relative to victims compensation fund eligibility.,HB 556,This bill provides that neither state agencies nor the courts shall require individuals to participate in counseling that has no Current Procedural Terminology (CPT) medical code and thus is ineligible for insurance reimbursement.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=707&txtFormat=html,Linda Massimilla,"Laura Pantelakos, Timothy Smith, Timothy Egan, Anita Burroughs, Gary Merchant, Erin Hennessey",12/30/2020
21-0708,relative to pharmacist administration of vaccines and allowing a licensed advanced pharmacy technician to administer vaccines.,,,,Gary Merchant,Suzanne Prentiss,12/22/2020
21-0709,relative to state of emergency declarations.,HB 578-FN,This bill requires the chief justice of the supreme court to submit a report on the standards necessary to implement a statewide mental health court system.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=709&txtFormat=html,Gary Hopper,,12/22/2020
21-0710,relative to food safety training for child care centers.,,,,Janice Schmidt,"Rosemarie Rung, Bruce Cohen",12/30/2020
21-0711,relative to the uses of certain large retail properties.,,,,John Janigian,"Betty Gay, Daryl Abbas, Everett McBride",12/30/2020
21-0712,relative to change of use of certain retail properties.,HB 551-FN,"This bill requires that the statewide centralized voter registration database be made publicly available in electronic format free of charge, provided that the secretary of state may allow for limited exceptions where a compelling reason exists for doing so.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=712&txtFormat=html,John Janigian,"Michael Edgar, Betty Gay, Daryl Abbas, Everett McBride",12/30/2020
21-0713,"relative to the election of Rockingham county officials.
",,,,Kenneth Weyler,"Laura Pantelakos, David Milz, Regina Birdsell, Stephen Pearson",12/30/2020
21-0714,relative to temporary absence from domicile for voting purposes.,HB 544,"This bill defines and prohibits the dissemination of certain divisive concepts related to sex and race in state contracts, grants, and training programs.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=714&txtFormat=html,Barbara Griffin,,12/30/2020
21-0716,relative to supported decision making as an alternative to guardianship.,HB 577,"This bill provides that if domestic violence is alleged in a parenting case, the case shall not be assigned to the complex case docket but shall be heard in district or superior court.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=716&txtFormat=html,Wendy Chase,"Lucy Weber, Paul Berch, Edward Gordon, William Marsh, Mark Pearson, Gerri Cannon, Cindy Rosenwald, Rebecca Whitley",12/29/2020
