LSRNumber,LSRTitle,BillNumber,BillAnalysis,BillURL,PrimeSponsor,Sponsors,pubDate
21-0001,relative to the state minimum hourly rate.,HB 517-FN,"This bill increases the minimum hourly rate, increases the base rate for tipped employees, and adjusts both rates annually based on the most recent 12-month average of the consumer price index.  The bill also requires a youth minimum wage for employees under 18 years of age.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=1&txtFormat=html,Kristina Schultz,"Linda Harriott-Gathright, Lee Oxenham, Laurel Stavis, Donald Bouchard, Safiya Wazir, Arthur Ellison, Cassandra  Levesque, Rebecca Whitley",1/4/2021
21-0002,relative to the reversal or forgiveness of emergency order violations.,HB 63-FN-A,"This bill provides that the state shall not enforce, and shall reverse, any prior finding of violation of the governor's emergency orders regarding the COVID-19 pandemic.  The bill also provides for annulment of an arrest or criminal conviction for violation of an emergency order issued in response to COVID-19.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=2&txtFormat=html,Andrew Prout,"Mark Warden, Dave Testerman, Scott Wallace, Bob Greene, Tony Lekas, Josh Yokela, Dawn Johnson, Melissa Blasek, Cody Belanger",1/4/2021
21-0003,raising the minimum age of marriage.,HB 408,This bill prohibits a person convicted of certain sexual assault offenses from hiring or otherwise engaging in any employment which provides access to a minor.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=3&txtFormat=html,Cassandra  Levesque,"Mary Beth Walz, Timothy Smith, Debra Altschiller, Sherry Frost, Chuck Grassie, Rosemarie Rung, Peter Petrigno, Safiya Wazir, Denny Ruprecht",1/5/2021
21-0004,relative to employment restrictions for registered sex offenders. ,HB 60,This bill raises the minimum age of marriage from 16 to 18 years of age.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=4&txtFormat=html,Kevin Verville,"John Reagan, Al Baldasaro",12/30/2020
21-0006,"establishing local education savings accounts for students.
",,,,Kevin Verville,"John Reagan, Jean Jeudy, Glenn Cordelli, John Potucek, Gregory Hill, Brian Seaworth, Bob Greene, Alicia Lekas, Josh Yokela, Leah Cushman",1/4/2021
21-0007,"relative to warrant articles in official ballot town, school district, or village district meetings.",,,,William Marsh,"Timothy Lang, Jess Edwards, Mark Pearson, Josh Yokela, John MacDonald",1/4/2021
21-0008,relative to certificates of title and drivers' licenses for members of the United States foreign service.,,,,William Marsh,"Steven Smith, Karel Crawford, Bill Nelson",1/4/2021
21-0009,relative to the legalization and regulation of cannabis and making appropriations therefor.,HB 68,"This bill adds sexual reassignment to the definition of an abused child in RSA 169-C, the child protection act.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=9&txtFormat=html,Casey Conley,"John Reagan, Robert Renny Cushing, Matthew Wilhelm, Rebecca McWilliams, Wendy Chase, Tony Labranche, Melbourne Moran",1/4/2021
21-0010,relative to continued in-network access to certain health care providers.,HB 163-FN,This bill requires alternative treatment centers to prepare information regarding the risk of cannabis use during pregnancy.  The bill also requires the commissioner of the department of health and human services to prepare a brochure relative to the risk of cannabis use during pregnancy and while breastfeeding.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=10&txtFormat=html,William Marsh,"Jeb Bradley, Karel Crawford, Bill Nelson, Joyce Weston, Cindy Rosenwald, John MacDonald",1/4/2021
21-0011,requiring parties responsible for pollution of a drinking water supply to be financially responsible for certain consequences of that pollution.,HB 135,This bill requires parties deemed responsible for pollution of a drinking water supply to be financially responsible for certain consequences of that pollution.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=11&txtFormat=html,Ralph Boehm,"Jeanine Notter, Richard Lascelles",1/4/2021
21-0012,relative to cannabis use during pregnancy.,HB 62-FN,This bill requires access by a covered person to a provider in the insurer's provider directory at in-network rates for the duration of the contract for health care services.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=12&txtFormat=html,William Marsh,"Patrick Abrami, Karel Crawford, Bill Nelson, Jerry Knirk, Rosemarie Rung, Brodie Deshaies",1/4/2021
21-0013,relative to the definition of child abuse.,HB 237-FN-A,"This bill establishes procedures for the legalization, regulation, and taxation of cannabis; the licensing and regulation of cannabis establishments; and makes appropriations therefor.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=13&txtFormat=html,Dave Testerman,,12/30/2020
21-0014,"relative to the therapeutic cannabis program.
",HB 78,This bill clarifies the circumstances under which certain New Hampshire residents in the United States foreign service may apply for or renew certificates of title and drivers' licenses.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=14&txtFormat=html,Casey Conley,"Robert Renny Cushing, Rebecca McWilliams, Wendy Chase, Dennis Acton, Melbourne Moran",1/4/2021
21-0015,requiring health care providers to provide cost quotes for non-emergency services.,HB 588,This bill defines tiny houses and provides for the authority and requirements for municipal regulation.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=15&txtFormat=html,Mark McLean,"Dick Marston, Kurt Wuelper, Richard Lascelles",1/4/2021
21-0016,use of money raised by taxation for education.  Providing that money raised by taxation may be applied for the use of religious educational institutions.,,,,Glenn Cordelli,"Al Baldasaro, Rick Ladd, Mark McLean, John Potucek, Kurt Wuelper, Gregory Hill, Ruth Ward, Mark Pearson, Bob Lynn",1/4/2021
21-0017,relative to the rates of business profits tax and the business enterprise tax.,HB 77,This bill requires that town and city clerks provide a daily update of candidates who have filed for nomination to the secretary of state.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=17&txtFormat=html,Sherman Packard,"Chuck Morse, Sharon Carson, Jeb Bradley, Norman Major, Lynne Ober, Jason Osborne, Regina Birdsell, Timothy Lang, Alan Bershtein, Keith  Erf, Erin Hennessey",1/4/2021
21-0018,requiring town and city clerks to provide daily notification to the secretary of state of any filings for elected office.,HB 10-FN,This bill reduces the rates of the business profits tax and the business enterprise tax.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=18&txtFormat=html,Ralph Boehm,Rick Ladd,12/15/2020
21-0020,relative to building codes for tiny houses.,HB 264-FN,This bill requires health care providers to provide a cost quote for non-emergency medical services offered to a patient.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=20&txtFormat=html,Dave Testerman,"Jim Maggiore, James Mason",12/15/2020
21-0021,relative to the home cultivation of cannabis plants and the possession of certain cannabis-infused products.,HB 70,This bill allows certain persons who are not licensed for tattooing as body art practitioners to perform microblading of eyebrows.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=21&txtFormat=html,Carol McGuire,"Michael Sylvia, Chris True, Kevin Verville, Rebecca McWilliams, Tony Lekas",1/4/2021
21-0022,taxes.  Providing that any broad-based sales tax shall be prohibited.,HB 76-FN,This bill prohibits a person from charging an additional fee for paying by mail or receiving a paper billing statement.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=22&txtFormat=html,Michael Harrington,"John Potucek, Kurt Wuelper, Peter Torosian, Bob Greene, Judy Aron",12/22/2020
21-0023,prohibiting the state from using a face recognition system.,HB 499,This bill prohibits the state from using face recognition technology.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=23&txtFormat=html,Carol McGuire,"John Reagan, Marjorie Smith, Gary Hopper, Paul Berch, Tony Lekas, Gary Merchant",1/4/2021
21-0024,prohibiting paper billing fees.,CACR 2,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=24&txtFormat=html,Safiya Wazir,"Laura Pantelakos, Mary Beth Walz, Dianne Schuett, Suzanne Vail, Joseph Guthrie, Dan Wolf, Betty Gay, Walter Stapleton, Tom Dolan",1/4/2021
21-0025,authorizing certification for the microblading of eyebrows.,,,,Carol McGuire,"Joseph Pitre, Tony Lekas",1/4/2021
21-0026,relative to the use of deadly force by a law enforcement officer.,CACR 1,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=26&txtFormat=html,Chris True,"Jess Edwards, Bob Greene",1/4/2021
21-0027,relative to the justified use of deadly force upon another person.,HB 183,"This bill prohibits a city, town, or village district from licensing or regulating a lemonade stand operated by a person under the age of 18.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=27&txtFormat=html,Chris True,"Al Baldasaro, Max Abramson, David Binford, Jess Edwards, Bob Greene",1/4/2021
21-0028,relative to the display of the national motto in schools.,HB 69,This bill permits school boards to provide copies of the national motto of the United States for display in each school building in the district.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=28&txtFormat=html,Chris True,"Max Abramson, Peter Torosian, Bob Greene, Tony Piemonte, Deborah Hobson, Beth Folsom",1/4/2021
21-0029,prohibiting municipalities from requiring a license for a lemonade stand operated by a person under the age of 18.,HB 81,This bill permits the use of deadly force in defense of another person.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=29&txtFormat=html,Chris True,"Max Abramson, Peter Torosian, Bob Greene, Tony Piemonte",1/4/2021
21-0030,taxes.  Providing that an income tax on earned personal income shall be prohibited.,HB 66,This bill removes the legal authority for a law enforcement officer to use deadly force in effecting an arrest.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=30&txtFormat=html,Michael Harrington,"John Potucek, Peter Torosian, Judy Aron",1/4/2021
21-0031,relative to ratification of amendments to the state building code and state fire code.,HB 119-FN,This bill removes the requirement for legislative approval of changes to the system benefits charge to electric consumers.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=31&txtFormat=html,Carol McGuire,"Joseph Pitre, Chris True, Susan DeLemus, Howard Pearl, Jess Edwards, Rebecca McWilliams, Tony Lekas, James Mason, Aidan Ankarberg",1/4/2021
21-0032,renaming and adjusting the membership of the New Hampshire commission on deafness and hearing loss.,,,,Mark Pearson,"Lou D'Allesandro, Jeb Bradley, Norman Major, Larry Gagne, Marjorie Porter, Glenn Cordelli, Regina Birdsell, Ellen Read, Gary Woods, Gary Merchant",1/4/2021
21-0035,relative to legislative approval of the New Hampshire general court for increases in the systems benefit charge.,HB 72,"This bill ratifies certain amendments to the state building code and state fire code adopted by the fire marshal and state building code review board in 2015, 2016, 2019, and 2020.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=35&txtFormat=html,John Mann,Rebecca McWilliams,1/4/2021
21-0036,relative to limited liability for institutions of higher education and businesses.,HB 80,"This bill requires the public utilities commission to include school districts in the allocation of energy efficiency funds, increases the statewide allocation for energy efficiency programs, and requires rebates from the use of auction proceeds to all commercial and industrial retail energy ratepayers.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=36&txtFormat=html,Rick Ladd,"Barbara Shaw, Steven Smith, Judy Aron",1/4/2021
21-0037,relative to town health officers.,HB 79,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=37&txtFormat=html,William Marsh,"Jeb Bradley, Lino Avellani, Jess Edwards, Jeffrey Salloway, Tom Sherman, Gary Merchant, Brodie Deshaies",1/4/2021
21-0038,relative to expenditures from the energy efficiency fund.,HB 255,"This bill establishes a limitation on liability for an institution of higher education or a business, for personal injury resulting from or related to the actual or alleged exposure to coronavirus or COVID-19.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=38&txtFormat=html,John Mann,"Jacqueline Cali-Pitts, Rebecca McWilliams",1/4/2021
21-0040,relative to absentee voting and allowing for partial processing of absentee ballots prior to election day.,HB 71,This bill prohibits the superior court from allowing special school meetings for specified reasons.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=40&txtFormat=html,Rosemarie Rung,"Norman Major, Michael Cahill, Martin Jack, Kat McGhee, Larry Laflamme, Heidi Hamer, Laura Telerski, Rebecca McWilliams, Robert Harb",1/4/2021
21-0041,requiring food service establishments to establish food allergy awareness procedures.,HB 65,This bill requires food service establishments to establish food allergy awareness procedures.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=41&txtFormat=html,Rosemarie Rung,"Janice Schmidt, Joseph Guthrie, William Marsh, Bruce Cohen",1/4/2021
21-0042,relative to school district emergency special meetings.,HB 61,This bill allows no-excuse absentee voting and partial processing of absentee ballots prior to election day.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=42&txtFormat=html,Ralph Boehm,"Mark McLean, Tony Lekas",10/23/2020
21-0043,relative to the therapeutic cannabis medical oversight board.,,,,Dennis Acton,Mark Pearson,1/4/2021
21-0044,relative to renewable generation facility property subject to a voluntary payment in lieu of taxes agreement.,HB 184,This bill prohibits the operation of personal water craft within 300 feet of any marsh land or flat of the Rye estuary and the New Castle back channel.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=44&txtFormat=html,Judy Aron,"Marjorie Porter, Steven Smith, Kat McGhee, Ruth Ward",1/4/2021
21-0045,relative to public notice requirements for certain permits issued by the department of environmental services.,HB 74-FN,This bill prohibits the commissioner of the department of transportation from adding ramp toll plazas or open road tolls in the town of Merrimack unless tolls are placed in other locations on the F.E. Everett Turnpike that have more traffic.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=45&txtFormat=html,Judy Aron,"John Potucek, Howard Pearl",1/4/2021
21-0046,establishing procedures for municipal host customer-generators of electrical energy.,HB 106,This bill establishes an exemption under net energy metering for group net metered facilities that generate electricity to offset electrical requirements of a group consisting of political subdivisions.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=46&txtFormat=html,Timothy Lang,"Jeb Bradley, Michael Moffett, Howard Pearl, David Love, Bob Giuda, Judy Aron, Erin Hennessey, Douglas Trottier, Brodie Deshaies",1/4/2021
21-0047,relative to the Merrimack ramp toll plazas.,HB 73,This bill requires public notice using electronic means for certain permits issued by the department of environmental services.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=47&txtFormat=html,Rosemarie Rung,"Melissa Blasek, Mary Mayville",1/4/2021
21-0048,relative to the operation of personal water craft around the marshlands or flats of the Rye estuary and the New Castle back channel.,HB 64-LOCAL,This bill clarifies the exclusion of  a renewable generation facility's payments in lieu of taxes from a municipality's tax base for the education tax.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=48&txtFormat=html,Kate Murray,,1/4/2021
21-0049,requiring law enforcement officers to use body-worn cameras and establishing a grant program to assist local law enforcement agencies to purchase body-worn cameras.,HB 117,This bill specifies circumstances for the use of force at New Hampshire national guard facilities.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=49&txtFormat=html,Casey Conley,"Robert Renny Cushing, Latha Mangipudi, Matthew Wilhelm, Tony Labranche, Melbourne Moran",1/4/2021
21-0050,requiring bottled drinking water sold to the public meet the same maximum contaminant levels established for public drinking water.,HB 120,This bill requires the department of health and human services to provide medication monitoring for children in foster care and to ensure that the use of medication restraint conforms with the limitations of RSA 126-U.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=50&txtFormat=html,Robert Renny Cushing,"Michael Edgar, Tom Sherman, Rosemarie Rung, David Meuse, Deborah Hobson, Cassandra  Levesque",1/4/2021
21-0051,adding notification requirements to the weather modification statute. ,HB 128,This bill requires notice before a state agency attempts to modify the weather.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=51&txtFormat=html,Judy Aron,"Michael Sylvia, Raymond Howard, John Potucek, Ruth Ward, Tony Lekas, Hershel Nunez, James Allard",1/4/2021
21-0052,relative to administration of psychotropic medications to children in foster care.,HB 265,This bill requires bottled water to comply with the maximum contaminant levels in the New Hampshire safe drinking water act.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=52&txtFormat=html,William Marsh,"Jeb Bradley, Peter Schmidt, Karel Crawford, Betty Gay, Jeffrey Salloway, Tom Sherman, Joe Schapiro, Cindy Rosenwald, Rebecca Whitley, Brodie Deshaies, Leah Cushman",1/4/2021
21-0053,relative to the use of force at New Hampshire national guard facilities. ,HB  -,This bill:,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=53&txtFormat=html,John Graham,Bob Giuda,1/4/2021
21-0056,relative to identification of cannabis strain for therapeutic cannabis.,HB 240,This bill requires an alternative treatment center to list the full name of the cannabis strain on the label of the packaging and permits the alternative treatment center to list the full name of the cannabis strains available to be dispensed on its public Internet website.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=56&txtFormat=html,Casey Conley,Roger Dontonville,11/16/2020
21-0057,relative to the penalty for overtaking a school bus.,,,,Laura Telerski,"Timothy Horrigan, Janice Schmidt, Suzanne Vail, Betty Gay, Roger Dontonville, Daniel Pickering",1/4/2021
21-0058,relative to political contributions made by limited liability companies.,,,,Kat McGhee,"Joseph Guthrie, Betty Gay, Joyce Weston",12/15/2020
21-0059,banning a sentence of life imprisonment without parole for a juvenile convicted of homicide.,,,,Paul Berch,"Mary Beth Walz, Joe Schapiro, Diane Langley, Wendy Chase",1/4/2021
21-0060,prohibiting non-disparagement clauses in settlement agreements involving a governmental unit.,,,,Paul Berch,"Marjorie Smith, Carol McGuire, Michael Sylvia, Amanda Bouldin, Charlotte DiLorenzo, Kristina Schultz, David Meuse, Deb Stevens",1/4/2021
21-0061,"establishing the office of school counseling and psychology, establishing the position of school counselor coordinator, and making an appropriation therefor.",HB 96-FN-A,"This bill establishes the office of school counseling and psychology in the division of learner support, department of education.  This bill also establishes the position of school counselor coordinator in the office of school counseling and psychology and makes an appropriation therefor.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=61&txtFormat=html,Patricia Cornell,"Mary Heath, Stephen Woodcock, Andrew Bouldin, Arthur Ellison, Sue Mullen",1/4/2021
21-0065,relative to amending a conservation easement between the state and a landowner.,,,,Paul Berch,"Michael Abbott, Cathryn Harvey",1/4/2021
21-0066,establishing an independent redistricting commission.,HB 121-FN-A,This bill establishes an independent redistricting commission.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=66&txtFormat=html,Marjorie Smith,"Dianne Schuett, Paul Berch, Dan Wolf, Edward Gordon, Lisa Bunker, Cam Kenney",1/4/2021
21-0068,creating a statute of limitation on civil actions relative to damage caused by perfluoroalkyl and polyfluoroalkyl substances.,HB 110,This bill requires the department of education to distribute adequate education grants to municipalities and requires such municipalities to transfer the grants to their school district or districts.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=68&txtFormat=html,Suzanne Vail,"Maureen Mooney, Megan Murray, David Meuse, Wendy Chase, Sue Mullen, Rebecca Perkins Kwoka, Robert Healey, Tony Labranche",1/4/2021
21-0069,establishing a dental benefit under the state Medicaid program.,,,,Joe Schapiro,"Laurel Stavis, Safiya Wazir, Rebecca McWilliams, Cindy Rosenwald",1/4/2021
21-0071,establishing a committee to study the feasibility of personal rapid transit systems and unconventional public transit methods.,HB 129-FN,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=71&txtFormat=html,Steven Smith,,1/4/2021
21-0072,relative to milk pasteurization.,HB 130,This bill clarifies the deduction by the retirement system of a member's or beneficiary's health care premium costs as determined by the department of administrative services.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=72&txtFormat=html,James Allard,"Steven Smith, William Marsh, Stephen Woodcock, Alicia Lekas, Judy Aron, Brodie Deshaies",1/4/2021
21-0073,relative to administration by the retirement system of certain health care premium deductions.,HB 95-FN,This bill allows for the sale of products made with raw milk in certain circumstances.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=73&txtFormat=html,Dianne Schuett,"Peter Schmidt, Carol McGuire, Stephen Pearson",1/4/2021
21-0074,prohibiting the installation or use  of electronic tracking software.,HB 104,This bill establishes a committee to study whether personal rapid transit systems and unconventional public transit methods are feasible.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=74&txtFormat=html,Dave Testerman,,1/4/2021
21-0075,relative to post-conviction DNA testing.,,,,Casey Conley,"Robert Renny Cushing, Joe Schapiro, Melbourne Moran",12/30/2020
21-0076,relative to the formula for determining funding for an adequate education.,HB 103,This bill requires the commissioner of the department of health and human services to solicit information and to contract with dental managed care organizations to provide dental care to persons under the Medicaid managed care program.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=76&txtFormat=html,Steven Smith,"Rick Ladd, Skip Rollins, John Potucek, Judy Aron, Walter Spilsbury",1/4/2021
21-0077,relative to the distribution of adequate education grants.,HB 236,This bill creates a statute of limitation on civil actions relative to damage caused byperfluoroalkyl and polyfluoroalkyl substances.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=77&txtFormat=html,Steven Smith,"Al Baldasaro, John Potucek, Douglas Thomas, Chris True, Gregory Hill, David Love, Ruth Ward, Bob Greene, Judy Aron",1/4/2021
21-0078,relative to worldwide combined reporting for unitary businesses under the business profits tax.,HB 102,This bill repeals the water's edge combined group provisions of the business profits tax.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=78&txtFormat=html,Thomas Schamberg,,1/4/2021
21-0079,relative to the erection of a sound barrier in the vicinity of Teaberry Lane in the town of Bedford.,HB 122-A,"This bill makes a capital appropriation of $2,000,000 to the department of transportation for the Carroll and Strafford freight rail improvements project.  The appropriation is contingent upon the receipt of matching private funds.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=79&txtFormat=html,John Graham,"David Danielson, Sue Mullen",1/4/2021
21-0080,adopting the uniform real property transfer on death act.,HB 124,"This bill adopts the uniform real property transfer on death act.  The act provides a  mechanism for the nonprobate transfer of land, done by permitting owners of interests in real property to execute and record a transfer on death (TOD) deed.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=80&txtFormat=html,Janice Schmidt,Constance Van Houten,1/4/2021
21-0081,making an appropriation to the Carroll and  Strafford counties freight rail improvements project and making an appropriation for the Coos county freight rail improvement  project.,HB 114-FN,This bill requires the department of transportation to erect a sound barrier on the F.E. Everett Turnpike in the town of Bedford.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=81&txtFormat=html,John Graham,"John Cloutier, David Milz, Edith Tucker",1/4/2021
21-0083,relative to reporting of health care associated infections.,HB 89-FN,"This bill adds moderate to severe insomnia to the definition of ""qualifying medical condition"" for the purposes of the use of cannabis for therapeutic purposes law.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=83&txtFormat=html,Gary Woods,,1/4/2021
21-0084,adding qualifying medical conditions to the therapeutic use of cannabis law.,HB 131,This bill clarifies the information that hospitals must report regarding infections.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=84&txtFormat=html,Suzanne Vail,"Max Abramson, Larry Laflamme, Wendy Chase",1/4/2021
21-0085,allowing alternative treatment centers to acquire and use in manufacturing hemp-derived cannabidiol (CBD) isolate.,,,,Suzanne Vail,Larry Laflamme,1/4/2021
21-0087,relative to standards for per and polyfluoroalkyl substances (PFAS) in drinking water and ambient groundwater.,HB 271,This bill directs the department of environmental services to set maximum contaminant limits for per and polyfluoroalkyl substances (PFAS).,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=87&txtFormat=html,Rosemarie Rung,Joyce Weston,1/4/2021
21-0088,relative to wake surfing.,HB 141-FN,This bill requires the department of environmental services to maintain a public registry of where certain fire suppressants have been used.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=88&txtFormat=html,Suzanne Smith,"Suzanne Gottling, Kurt Wuelper, Ruth Ward, Sallie Fellows, Michael Gunski, John MacDonald, Brodie Deshaies",1/4/2021
21-0089,establishing a cause of action against the state to protect individual rights.,HB 111,"This bill creates a cause of action in state court for an injury to an individual caused by an agent of the state of New Hampshire, or any of its political subdivisions, which constitutes the violation of a right under state or federal law.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=89&txtFormat=html,Paul Berch,"Marjorie Smith, Dianne Schuett, Peter Bixby, Amanda Bouldin, Kurt Wuelper, Mark King, Tony Lekas",1/4/2021
21-0091,relative to acreage required to build certain single family housing.,,,,Josh Yokela,Rebecca McWilliams,1/4/2021
21-0092,relative to post-arrest photo distribution by law enforcement officers.,HB 112,This bill establishes a committee to study the effects of deportation of primary earners on family members who are United States citizens.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=92&txtFormat=html,Nicole Klein-Knight,"Donald Bouchard, Terry Roy",1/4/2021
21-0093,granting immunity from prosecution for prostitution for reporting a sexual assault.,HB 123-FN,This bill provides immunity from prosecution for prostitution for a person reporting to law enforcement that such person or another person is the victim of a sexual assault.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=93&txtFormat=html,Nicole Klein-Knight,"Robert Renny Cushing, David Welch, Donald Bouchard, Terry Roy",1/4/2021
21-0094,establishing a committee to study the effects of deportation of primary earners on family members who are United States citizens.,HB 125,This bill prohibits law enforcement from distributing post-arrest photos of suspects except in certain circumstances.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=94&txtFormat=html,Nicole Klein-Knight,"Linda Massimilla, Donald Bouchard, Safiya Wazir",10/23/2020
21-0096,relative to funding for newborn screening.,,,,William Marsh,"Jeb Bradley, Bill Nelson, Richard Osborne, Jeffrey Salloway, Gary Woods",1/4/2021
21-0098,relative to the city of Claremont police commission.,HB 88,This bill provides that the city council of Claremont shall appoint the police commission.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=98&txtFormat=html,Andrew O'Hearne,"John Cloutier, Walter Stapleton, Gary Merchant",1/4/2021
21-0099,relative to causes for divorce.,HB 142,This bill revises the fault-based grounds for divorce.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=99&txtFormat=html,Debra DeSimone,,1/4/2021
21-0100,"calling for the Netflix show ""Cuties"" to be taken off the air.  ",HB 101,This bill requires counties to close their books 30 days following the end of the fiscal year unless  granted an extension by the commissioner of revenue administration.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=100&txtFormat=html,Max Abramson,Chris True,1/4/2021
21-0101,relative to the close of a county's books of records.,HR 7,"This resolution calls for the Netflix show ""Cuties"" to be taken off the air and urges the United States Department of Justice to investigate whether the show violates federal law regarding sexual exploitation of children.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=101&txtFormat=html,John MacDonald,"Karel Crawford, Bill Nelson, Lino Avellani, William Marsh, Brodie Deshaies",1/4/2021
21-0103,repealing certain inactive dedicated funds.,HB 134,This bill deletes certain inactive dedicated funds and adds others to the list of dedicated funds in RSA 6:12.  The bill also changes the reporting year for the office of professional licensure and certification.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=103&txtFormat=html,Norman Major,"Susan Almy, Lucy Weber, Bob Giuda",1/4/2021
21-0104,relative to personal delivery devices and mobile carriers.,,,,Steven Smith,"Sherman Packard, Thomas Walsh",1/4/2021
21-0105,relative to an electronic prescription drug program.,HB 100,This bill adds an exemption to the prohibition on crossing unbroken painted center lines while driving on any way.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=105&txtFormat=html,Gary Merchant,,1/4/2021
21-0106,creating a cause of action for censorship by social media websites.,HB 99,"This bill requires that any person seeking to anchor a floating dock, seasonal platform, inflatable platform or float on public waters of the state adhere to requirements specified by the department of safety, division of marine patrol.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=106&txtFormat=html,Fred Plett,,1/4/2021
21-0107,modifying the dates of the state primary and associated filing deadline.,HB 97,This bill changes the date of the state primary election to the second Tuesday in August.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=107&txtFormat=html,Ralph Boehm,,1/4/2021
21-0108,relative to seasonal platforms on public waters of the state.,HB 133,This bill creates a private right of action by a social media website user in this state against a social media website.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=108&txtFormat=html,John MacDonald,"Jeb Bradley, Karel Crawford, William Marsh, Brodie Deshaies",1/4/2021
